period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,,,,,,1891.0,1891.0,,,,,Yes,1891.0,1891.0,,,,,90.1,168.2,-78.1,38.8,56.4,,,,,,,,0000950170-25-063509,2025-05-05,2026-06-28T08:19:56Z,2
2025-06-30,10-Q,,,,,,1962.5,1962.5,,,,,Yes,1962.5,1962.5,,,,,32.0,179.6,-147.6,2.8,23.0,,,,,,,,0000950170-25-104989,2025-08-07,2026-06-28T08:19:56Z,2
2025-09-30,10-Q,,,,,,1961.1,1961.1,,,,,Yes,1961.1,1961.1,,,,,46.7,134.5,-87.8,13.2,20.6,,,,,,,,0001193125-25-266884,2025-11-05,2026-06-28T08:19:56Z,2
2025-12-31,10-K,,,,,,,,,,,,Yes,2032.9,2032.9,,,,,95.1,128.0,-32.9,36.5,29.9,,,,-109.0,,,,0001193125-26-059853,2026-02-20,2026-06-28T08:19:56Z,2
2026-03-31,10-Q,,,,,,2095.1,2095.1,,,,,Yes,2095.1,2095.1,,,,,129.0,117.2,11.8,50.5,42.3,,,,,,,,0001193125-26-201710,2026-05-01,2026-06-28T08:19:56Z,2
