period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,notional_amounts_by_instrument,hedge_accounting_designation,derivative_balance_sheet_location,commodity_contract_volumes,cross_currency_swap_details,interest_rate_sensitivity,fx_sensitivity,argentina_peso_exposure,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,,,,,,,,,1050,7,103,Yes,1076,,,1050,,,7,103,-96,,,,,,,,,,,,,,,,,,0001748790-25-000016,2025-05-01,2026-07-03T12:36:30Z,2
2025-06-30,10-K,,,,,,,,,,7,568,Yes,3600,,,650,,,7,568,-561,,,,,-24,,,,,,,,,,-24,-26,-6,0001748790-25-000023,2025-08-15,2026-07-03T12:36:30Z,2
2025-09-30,10-Q,,,,,,,,,650,6,522,Yes,3593,,,650,,,6,522,-516,,,,,,,,,,,,,,,,,,0001748790-25-000036,2025-11-06,2026-07-03T12:36:30Z,2
2025-12-31,10-Q,,,,,,,,,650,10,523,Yes,3629,,,650,,,10,523,-513,,,,,,,,,,,,,,,,,,0001748790-26-000006,2026-02-04,2026-07-03T12:36:30Z,2
2026-03-31,10-Q,,,,,,,,,,13,467,Yes,3749,,,650,,,13,467,-454,,,,,,,,,,,,,,,,,,0001748790-26-000016,2026-05-07,2026-07-03T12:36:30Z,2
