period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,foreign_currency_notional,foreign_currency_fair_value,foreign_currency_sensitivity,commodity_notional,commodity_fair_value,commodity_sensitivity,net_investment_hedge_notional,fixed_debt_notional,fixed_debt_fair_value,fixed_debt_sensitivity,preissuance_hedge_notional,variable_debt_sensitivity,hedge_ratios
2026-02-28,10-K,,,,,,Yes,2603.1,,,10.3611,,,2603.1,333.6,-185.2,335.5,23.8,-32.1,145.5,10361.1,-9858.2,-528.2,50.0,2.8,73% forecasted transactional FX exposures; 79% forecasted commodity exposures; 100% balance sheet FX exposures
2025-02-28,10-K,,,,,,Yes,3221.8,,,10.7587,,,3221.8,20.6,-213.7,322.1,-3.2,28.5,,10758.7,-9990.0,-533.7,275.0,5.3,100% balance sheet FX exposures; 72% forecasted transactional FX exposures; 63% forecasted commodity exposures
2025-05-31,10-Q,,,,,,Yes,3275.5,,,11.2581,,,3275.5,152.5,-200.7,327.6,-17.9,26.7,145.5,11258.1,-10440.2,-521.7,0,1.6,100% balance sheet FX exposures; 79% forecasted transactional FX exposures; 73% forecasted commodity exposures
2025-08-31,10-Q,,,,,,Yes,3263.8,,,10.3573,,,3263.8,216.6,-192.2,327.1,-1.2,29.1,145.5,10357.3,-9677.9,-510.1,0.0,2.0,100% balance sheet FX exposures; 83% forecasted transactional FX exposures; 82% forecasted commodity exposures
2025-11-30,10-Q,,,,,,Yes,2947.6,,,10.3562,,,2947.6,234.5,-173.5,304.0,14.1,-28.1,145.5,10356.2,-9775.0,-539.4,0.0,2.3,100% balance sheet FX exposures; 83% forecasted transactional FX exposures (three months); 85% forecasted commodity exposures (three months)
