period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,hedge_gain_losses_current,foreign_currency_transaction_losses,revenue_fx_impact,operating_profit_fx_impact,eps_fx_impact,forward_fx_assumptions,hedge_duration,sensitivity_analysis
2025-03-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,10-K,,,,,,,,,,,,Yes,,,,,,,,,,,,,-4.16,,,,,,-0.801,-4.16,33.139,16.579,0.1,"euro at $1.16, British pound at $1.33, Canadian dollar at $0.72, Australian dollar at $0.66; Japanese yen at ¥157, Chinese renminbi at RMB 7.05, Brazilian real at R$5.45",< 24 months,-16
2026-03-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,0,-0.444,,,0.25,,,0.15,-0.444,31.171,17.569,0.14,"euro at $1.16, the British pound at $1.33, the Canadian dollar at $0.72, and the Australian dollar at $0.70; and the Japanese yen at ¥160, the Chinese renminbi at RMB 6.90, and the Brazilian real at R$5.15",3.333,-12.0
