period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fx_forward_notional,marketable_securities_fair_value,long_term_debt_carrying_value,long_term_debt_fair_value,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,,349,,,,408,256,152,,,2,Yes,408,256,152,,,,,2,-2,,,,,,,,,,,,,,0001133421-25-000023,2025-04-22,2026-06-23T04:24:57Z,2
2025-06-30,10-Q,,413,,,,335,236,99,,9,,Yes,335,236,99,,,,9,,9,,,,,,,,,,,,,,0001133421-25-000049,2025-07-22,2026-06-23T04:24:57Z,2
2025-09-30,10-Q,,516,,,,334,241,93,,7,,Yes,334,241,93,,,,7,,7,,,,,,,,,,,,,,0001133421-25-000053,2025-10-21,2026-06-23T04:24:57Z,2
2025-12-31,10-K,,,,,,,,,,,,Yes,308,,,,,,,,,,,308,,,not material,15.7,483,,308,483,15700,15100,0001133421-26-000003,2026-01-27,2026-06-23T04:24:57Z,2
2026-03-31,10-Q,,492,,,,318,149,169,,,,Yes,318,149,169,,,,0,,0,,,,,,,,,,,,,,0001133421-26-000016,2026-04-21,2026-06-23T04:24:57Z,2
