period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,derivative_assets_fair_value,derivative_liabilities_fair_value,interest_rate_swap_notional,foreign_currency_forward_notional,hedge_designation,fx_sensitivity,investment_securities_fair_value,long_term_debt_schedule
2025-03-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,10-K,,,,,,,,,,,,Yes,,,,,,,,,,,,0,,,,1.35,,,,,500,4000,fair value hedge,less than 15,,"{'2026': {'amount': 600, 'interest_rate': 2.35}, '2027': {'amount': 1350, 'interest_rate': 4.89}, '2028': {'amount': None, 'interest_rate': None}, '2029': {'amount': 760, 'interest_rate': 3.48}, '2030': {'amount': 500, 'interest_rate': 4.57}, 'Thereafter': {'amount': 2496, 'interest_rate': 4.16}, 'total': 5706}"
2026-03-31,10-Q,,1198,1170,28,0,,,,,10,38,Yes,,,,500,,,10,38,-28,-91,,,,,,,,,,,,,,,,
2026-06-30,10-Q,,1329,1297,32,0,,,,,14,26,Yes,,,,500,,,14,26,-12,-91,,,,,,,,,,,,,,,,
