period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,notional_amounts,fair_value_hierarchy,derivative_assets_liabilities,hedge_designations,net_investment_hedges,cash_flow_hedges,fair_value_hedges,collateral_posted,netting_arrangements,market_risk_exposures,accession_number,filing_date,processed_at,extraction_version
2025-03-29,10-Q,327,674,,146,0,11401,,,,224,235,Yes,11401,,,,1097,,224,235,-11,,15,,,,,,,,,,,,,,,,,,0001637459-25-000061,2025-04-29,2026-06-21T00:29:38Z,2
2025-06-28,10-Q,14,997,,292,0,10169,,,,304,490,Yes,10169,,,,1101,,304,490,-186,,-8,,,,,,,,,,,,,,,,,,0001637459-25-000152,2025-07-30,2026-06-21T00:29:38Z,2
2025-09-27,10-Q,,1020,,428,0,7319,,,,95,296,Yes,7319,,,,1027,,95,296,-201,,,,,,,,,,,,,,,,,,,,0001637459-25-000166,2025-10-29,2026-06-21T00:29:38Z,2
2025-12-27,10-K,221,1060,,456,0,7312,,,,80,326,Yes,7312,,,,976,,80,326,-246,,,,,,,,,,,,,,,,,,,"commodity prices, foreign exchange rates, interest rates",0001637459-26-000009,2026-02-12,2026-06-21T00:29:38Z,2
2026-03-28,10-Q,711,783,,348,0,6730,,,,215,216,Yes,6730,,,,980,,215,216,-1,,,,,,,,,,,,,,,,,,,,0001637459-26-000022,2026-05-06,2026-06-21T00:29:38Z,2
