period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,notional_amounts_by_currency,settlement_gains_losses,fair_value_outstanding,fair_value_hierarchy_level,interest_rate_sensitivity,foreign_currency_sensitivity,hedging_currencies,contract_maturity,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,115.685,0,0,0,0,461.729,0,461.729,,,,Yes,461.729,,,,,,,,,,,,,,,,,,,,,,not material,could be material,"Euro, British Pound, Chinese Yuan, Polish Zloty, Canadian Dollar",generally one month,0001097149-25-000034,2025-05-08,2026-07-03T06:36:36Z,2
2025-06-30,10-Q,77.372,0,0,0,0,512.74,0,512.74,,,,Yes,512.74,,,,,,,,,,,,,,,,,,,,,,not material,could have a material impact,"Euro, British Pound, Chinese Yuan, Polish Zloty, Canadian Dollar",typically one month,0001097149-25-000064,2025-08-06,2026-07-03T06:36:36Z,2
2025-09-30,10-Q,207.177,0,0,0,0,436.164,0,436.164,,,,Yes,436.164,,,,,,,,,,,,,,,,,,,,,,not material,could have a material impact,"Euro, British Pound, Chinese Yuan, Polish Zloty, Canadian Dollar",typically one month,0001097149-25-000079,2025-11-05,2026-07-03T06:36:36Z,2
2025-12-31,10-K,324.857,0,0,0,0,466.162,0,466.162,,,,Yes,466.162,,,,,,,,,,,,,,,,,,,,,,not material,could be material,"Euro, British Pound, Chinese Yuan, Polish Zloty, Canadian Dollar",generally one month,0001097149-26-000014,2026-02-27,2026-07-03T06:36:36Z,2
2026-03-31,10-Q,198.951,0,0,0,0,501.699,0,501.699,,,,Yes,501.699,,,,,,,,,,,,,,,,,,,,,,not material,could be material,"Euro, British Pound, Chinese Yuan, Polish Zloty, Canadian Dollar",generally one month,0001097149-26-000040,2026-05-06,2026-07-03T06:36:36Z,2
