period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,cash_equivalents_amount,interest_rate_sensitivity,debt_interest_rate_type,foreign_exchange_exposure,foreign_currency_gains_losses,hedging_policy
2025-03-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,10-K,,,,,0,,,,,,,,,,,,,,,,,,,0,0,0,,2.5,,,2500,The fair values of the Senior Notes will increase as interest rates fall and decrease as interest rates rise.,Fixed,We are exposed to foreign exchange rate fluctuations as we translate the financial statements of our foreign subsidiaries into U.S. dollars.,not material,"We do not, but we may in the future, enter into derivatives or other financial instruments in an attempt to hedge our foreign currency exchange risk."
2026-03-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,0,0,,,,
