period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,net_investment_hedge_gains_losses,translation_adjustments_reallocation,market_risk_reference
2025-06-30,10-K,,,,,,No mention,,,,,,,,,Item 7 - Liquidity and Capital Resources – Market Risk
2025-03-31,10-Q,,,,,,No mention,,,,,,,,,Item 2 of this Quarterly Report on Form 10-Q under the caption Liquidity and Capital Resources - Market Risk
2025-09-30,10-Q,,,,,,No mention,,,,,,,,,Item 2 of this Quarterly Report on Form 10-Q under the caption Liquidity and Capital Resources - Market Risk
2025-12-31,10-Q,,,,,,No mention,,,,,,,,,Item 2 of this Quarterly Report on Form 10-Q under the caption Liquidity and Capital Resources - Market Risk
2026-03-31,10-Q,,,,,,No mention,,,,,,,,,Item 2 of this Quarterly Report on Form 10-Q under the caption Liquidity and Capital Resources - Market Risk
