period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fair_value_by_level,level_3_unobservable_inputs,collateral_amounts,commodity_derivative_roll_forward,market_risk_sensitivity,fair_value_maturity_profile,hedge_settlement_timeline,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,,,,,,,,,,,,Yes,712,,,712,,,,,,,,,,,,,,948,,,1063,,,,,0001868275-25-000044,2025-05-06,2026-06-13T06:21:20Z,2
2025-06-30,10-Q,,,,,,,,,,,,Yes,1065,,,1065,,,,,,,,,,,,,,981,,,847,,,,,0001868275-25-000073,2025-08-07,2026-06-13T06:21:20Z,2
2025-09-30,10-Q,,,,,,,,,,,,Yes,1506,,,1506,,,,9459,-269,,,,,,,,,1061,,,776,,219,,,0001868275-25-000092,2025-11-07,2026-06-13T06:21:20Z,2
2025-12-31,10-K,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,1099,,,1352,,,,,0001868275-26-000032,2026-02-24,2026-06-13T06:21:20Z,2
2026-03-31,10-Q,,,,,,,,,,,,Yes,,,,4600,,,,13227,-848,,,,,,,,,1072,,,1683,,,,,0001868275-26-000067,2026-05-11,2026-06-13T06:21:20Z,2
