period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,interest_rate_sensitivity,fx_sensitivity_10pct,primary_fx_exposures,fx_forward_fair_value
2026-03-31,10-Q,,,,,,,,,,,,,,,,
2025-03-31,10-Q,,,,,,Yes,,,,,,,6,31,"EUR, GBP, CAD, AUD, JPY, INR, IDR, HKD, SGD",
2025-06-30,10-Q,,,,,,Yes,,,,,,,8,39,"EUR, GBP, CAD, AUD, JPY, INR, IDR, HKD, SGD, NZD",
2025-09-30,10-Q,,,,,,Yes,,,,,,,8,40,"EUR, GBP, CAD, AUD, JPY, INR, IDR, HKD, NZD, SGD",
2025-12-31,10-K,,,,,,Yes,,,,,,,6,47,"EUR, GBP, CAD, AUD, JPY, INR, IDR, HKD, NZD, KRW, SGD",
