period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fair_value_sensitivity_analysis,interest_rate_sensitivity,cash_flow_hedge_fair_values,non_hedge_fair_values,equity_investment_values,fixed_rate_securities_balance
2025-12-31,10-K,,,,,,Yes,,,30,,929,,20% adverse change in foreign exchange rates,1% increase impact: $30 million decrease in fair value of investments,15,4,14%,"$2.9 billion, 42% of total cash and investments"
2025-03-31,10-Q/A,,,,,,Yes,,,35.0,,1100.0,,20% adverse change in foreign exchange rates,1% increase in interest rates would result in $35 million decrease in fair value of investments,23.0,9.0,13%,"$3.2 billion, 38% of total cash and investments"
2025-03-31,10-Q,,,,,,Yes,,,35,,1100,,20% adverse change in foreign exchange rates,1% increase in interest rates would result in $35 million decrease in fair value of investments,23,9,13%,"$3.2 billion, 38% of total cash and investments"
2025-06-30,10-Q,,,,,,Yes,,,38,3.3,912,,20% adverse change in foreign exchange rates,1% increase in interest rates would result in $38 million decrease in fair value of investments,-11,20,12%,"$3.3 billion, 44% of total cash and investments"
2025-09-30,10-Q,,,,,,Yes,,,37,2.9,903,,20% adverse change in foreign exchange rates,1% increase in interest rates would result in $37 million decrease in fair value of investments,15,7,12%,"$2.9 billion, 40% of total cash and investments"
2026-03-31,10-Q,,,,,,Yes,,,28,2.2,766,,20% adverse change in foreign exchange rates,1% increase in interest rates would result in $28 million decrease in fair value of investments,24,6,11%,"$2.2 billion, 31% of total cash and investments"
