timestamp,issuer,section,model,input_tokens,output_tokens,cost_usd
2026-03-28T06:53:16.908074+00:00,Philip Morris International,market_risk,claude-haiku-4-5-20251001,547,355,0.001858
2026-03-28T06:53:32.214332+00:00,Adobe Inc.,bootstrap,claude-sonnet-4-20250514,2872,606,0.017706
2026-03-28T06:53:41.763494+00:00,Adobe Inc.,market_risk,claude-haiku-4-5-20251001,2395,1190,0.006676
2026-03-28T06:54:16.131972+00:00,Carnival,bootstrap,claude-sonnet-4-20250514,763,551,0.010554
2026-03-28T06:54:22.716156+00:00,Carnival,market_risk,claude-haiku-4-5-20251001,1223,1283,0.006110
2026-03-28T06:56:03.046720+00:00,Paychex,bootstrap,claude-sonnet-4-20250514,1407,509,0.011856
2026-03-28T06:56:11.043480+00:00,Paychex,market_risk,claude-haiku-4-5-20251001,1812,1404,0.007066
2026-03-28T06:57:11.471014+00:00,General Mills,bootstrap,claude-sonnet-4-20250514,2333,571,0.015564
2026-03-28T06:57:16.928414+00:00,General Mills,financial_instruments,claude-haiku-4-5-20251001,4123,611,0.005742
2026-03-28T06:57:21.435738+00:00,General Mills,market_risk,claude-haiku-4-5-20251001,794,862,0.004083
2026-03-28T06:57:33.656686+00:00,Micron Technology,bootstrap,claude-sonnet-4-20250514,2105,598,0.015285
2026-03-28T06:57:42.199899+00:00,Micron Technology,market_risk,claude-haiku-4-5-20251001,1517,1249,0.006210
2026-03-29T06:53:55.963404+00:00,Adobe Inc.,market_risk,claude-haiku-4-5-20251001,1072,1156,0.005482
2026-03-29T06:54:03.259952+00:00,Adobe Inc.,market_risk,claude-haiku-4-5-20251001,935,1158,0.005380
2026-03-29T06:54:09.013558+00:00,Adobe Inc.,market_risk,claude-haiku-4-5-20251001,953,986,0.004706
2026-03-29T06:54:14.853798+00:00,Adobe Inc.,market_risk,claude-haiku-4-5-20251001,834,992,0.004635
2026-03-29T06:54:21.561272+00:00,Carnival,market_risk,claude-haiku-4-5-20251001,1086,1005,0.004889
2026-03-29T06:54:26.190533+00:00,Carnival,market_risk,claude-haiku-4-5-20251001,924,855,0.004159
2026-03-29T06:54:32.226687+00:00,Carnival,market_risk,claude-haiku-4-5-20251001,920,1016,0.004800
2026-03-29T06:54:37.097884+00:00,Carnival,market_risk,claude-haiku-4-5-20251001,914,887,0.004279
2026-03-29T06:54:44.231414+00:00,General Mills,market_risk,claude-haiku-4-5-20251001,897,768,0.003790
2026-03-29T06:54:50.340385+00:00,General Mills,market_risk,claude-haiku-4-5-20251001,894,948,0.004507
2026-03-29T06:54:56.449849+00:00,General Mills,market_risk,claude-haiku-4-5-20251001,900,870,0.004200
2026-03-29T06:55:03.454506+00:00,General Mills,market_risk,claude-haiku-4-5-20251001,898,934,0.004454
2026-03-29T06:55:11.480666+00:00,Micron Technology,market_risk,claude-haiku-4-5-20251001,819,1009,0.004691
2026-03-29T06:55:16.852678+00:00,Micron Technology,market_risk,claude-haiku-4-5-20251001,734,921,0.004271
2026-03-29T06:55:22.353664+00:00,Micron Technology,market_risk,claude-haiku-4-5-20251001,733,981,0.004510
2026-03-29T06:55:27.460859+00:00,Micron Technology,market_risk,claude-haiku-4-5-20251001,750,828,0.003912
2026-03-29T06:55:35.681656+00:00,Paychex,market_risk,claude-haiku-4-5-20251001,1637,1011,0.005354
2026-03-29T06:55:42.381771+00:00,Paychex,market_risk,claude-haiku-4-5-20251001,1456,903,0.004777
2026-03-29T06:55:50.726596+00:00,Paychex,market_risk,claude-haiku-4-5-20251001,1444,1003,0.005167
2026-03-29T06:55:58.328054+00:00,Paychex,market_risk,claude-haiku-4-5-20251001,1504,997,0.005191
2026-04-16T07:20:17.457798+00:00,Delta Air Lines,bootstrap,claude-sonnet-4-20250514,1208,479,0.010809
2026-04-16T07:20:23.909201+00:00,Delta Air Lines,market_risk,claude-haiku-4-5-20251001,1532,1207,0.006054
