period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,notional_designated,notional_non_designated,maturity_horizon,facility_lease_guarantee_exposure,escrow_mitigation,interest_rate_sensitivity,fx_sensitivity_aoci,fx_sensitivity_balance_sheet,accession_number,filing_date,processed_at,extraction_version
2025-01-26,10-K,,,,,,,,,,,,True,10.0,,1424.0,,,,,,,2025.0,2025.0,,,,,,,,,,,,,,,,,,,
2025-04-27,10-Q,,,,,,,,,,,,True,9.0,,1477.0,,,,,,,2026.0,2026.0,,,,,,,,,,,,,,,,,,,
2025-07-27,10-Q,,,,,,,,,,,,True,9.0,,1577.0,,,,,,,2026.0,2026.0,,,,,,,,,,,,,,,,,,,
2025-10-26,10-Q,,,,,,,,,,,,True,9.0,,1736.0,,,,,,,2026.0,2026.0,,,,,,,,,,,,,,,,,,,
2026-01-25,10-K,,,,,,,,,,,,True,10.0,,1765.0,,,,,,,2026.0,2026.0,,,,,,,,,,,,,,,,,,,
2026-04-26,10-Q,,,,,,,,,,,,True,8.0,,2114.0,,,,,,,2027.0,2027.0,,,,,,,,,,,,,,,,,,,
