period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,floating_rate_debt_principal,floating_rate_debt_percentage,interest_rate_swap_fair_value,interest_rate_sensitivity,foreign_currency_hedge_materiality,commodity_derivative_usage
2026-02-01,10-K,,,,,,Yes,,,,,,,5400,11,-558,54,Not material,No
2025-02-02,10-K,,,,,,Yes,,,60,,,,6000,12,-795,60,Not material,No
2025-05-04,10-Q,,,,,,No mention,,,,,,,,,,,Not material,No mention
2025-08-03,10-Q,,,,,,No mention,,,,,,,,,,,Not material,No mention
2025-11-02,10-Q,,,,,,No mention,,,,,,,,,,,Not material,No mention
2026-05-03,10-Q,,,,,,No mention,,,,,,,,,,,Not material,No mention
