period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fx_forward_notional,fx_option_notional,net_investment_hedge_notional,derivative_fair_values,gains_losses_other_income,aoci_net_investment_hedge,fx_sensitivity_eur,fx_sensitivity_jpy,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,73.9,,,,,1326.5,453.5,873.0,,6.0,4.3,Yes,1326.5,453.5,873.0,,,,6.0,4.3,1.7,,,,,,,,,,873.0,,453.5,,-0.9,,,,0000950170-25-061801,2025-05-01,2026-07-07T00:48:07Z,2
2025-06-30,10-Q,52.8,,,,,1384.3,482.4,901.9,,6.2,14.4,Yes,1384.3,482.4,901.9,,,,6.2,14.4,-8.2,,,,,,,,,,901.9,,482.4,,4.0,,,,0000950170-25-100879,2025-07-31,2026-07-07T00:48:07Z,2
2025-09-30,10-K,,,,,,,,,,,,Yes,,,1518.1,,,,,,,,,,-2.4,7,,0.5,,,,,,,,,44,10,0001193125-25-291326,2025-11-21,2026-07-07T00:48:07Z,2
2025-12-31,10-Q,45.0,,,,,1862.6,547.6,1315.0,,8.8,1.9,Yes,1862.6,547.6,1315.0,,,,8.8,1.9,6.9,,,,,,,,,,,,547.6,,0.2,,,,0001193125-26-039347,2026-02-05,2026-07-07T00:48:07Z,2
2026-03-31,10-Q,268.6,,,,,1595.0,535.8,1059.2,,7.6,5.3,Yes,1595.0,535.8,1059.2,,,,7.6,5.3,2.3,,,,,,,,,,,,535.8,,0.9,,,,0001193125-26-209869,2026-05-07,2026-07-07T00:48:07Z,2
2026-06-30,10-Q,,,,,,,,,,,,,,,,,,Yes,1468.476,527.036,941.44,,,,5.065,7.573,-2.508,,,,-2.5,,,,,,853.83,87.2,,,,
