period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fx_forward_notional,fx_forward_fair_value_sensitivity,cross_currency_swap_notional,cross_currency_swap_sensitivity,foreign_debt_amount,foreign_debt_hedge_percentage,variable_rate_debt,interest_rate_swap_notional,interest_rate_sensitivity,marketable_securities_value,marketable_securities_sensitivity,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,,,,,,2863,2863,,2481,3,125,Yes,2863,2863,,2481,,,3,125,-122,,7,,,,,,,,,,,,,,,,,,,0001478242-25-000087,2025-05-06,2026-06-20T12:27:18Z,2
2025-06-30,10-Q,,,,,,2821,2821,,2478,9,406,Yes,2821,2821,,2478,,,9,406,-397,,13,,,,,,,,,,,,,,,,,,,0001478242-25-000106,2025-07-22,2026-06-20T12:27:18Z,2
2025-09-30,10-Q,,,,,,2854,2854,,2474,5,391,Yes,2854,2854,,2474,,,5,391,-386,,6,,,,,,,,,,,,,,,,,,,0001628280-25-046794,2025-10-28,2026-06-20T12:27:18Z,2
2025-12-31,10-K,,203,203,,,2847,,,1470,,,Yes,2847,,,1470,,,,,,,,127,,,193,,203,20,127,13,2720,339,3673,94,5768,1470,11,203,20,0001628280-26-008322,2026-02-17,2026-06-20T12:27:18Z,2
2026-03-31,10-Q,,,,,,2846,2846,,1466,0,293,Yes,2846,2846,,1466,,,0,293,-293,,3,,,,,,,,,,,,,,,,,,,0001628280-26-030675,2026-05-05,2026-06-20T12:27:18Z,2
