period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,foreign_currency_notional_amounts,foreign_currency_fair_values,interest_rate_swap_notional,interest_rate_swap_fair_values,weighted_average_fixed_rates,sensitivity_analysis_table,debt_fair_values,finance_receivables_fair_values,accession_number,filing_date,processed_at,extraction_version
2025-03-29,10-Q,,,,,,683,,,294,10,16,Yes,683,,,294,,,10,16,-6,,,,,,,,,,,,,,,,,,0000217346-25-000046,2025-04-24,2026-06-26T20:21:26Z,2
2025-06-28,10-Q,,,,,,651,,,294,14,14,Yes,651,,,294,,,14,14,0,,,,,,,,,,,,,,,,,,0000217346-25-000068,2025-07-24,2026-06-26T20:21:26Z,2
2025-09-27,10-Q,,,,,,542,,,264,10,15,Yes,542,,,264,,,10,15,-5,,,,,,,,,,,,,,,,,,0000217346-25-000077,2025-10-23,2026-06-26T20:21:26Z,2
2026-01-03,10-K,,,,,,477,,,264,7,10,Yes,477,,,264,,,7,10,-3,,,477,,,34,,,,477,-4,264,,,"Manufacturing group FX: Carrying $(4)M, Fair $(4)M, Sensitivity $34M; Debt: Carrying $(3,459)M, Fair $(3,406)M, Sensitivity $(66)M; Finance group Finance receivables: Carrying $493M, Fair $528M, Sensitivity $12M; Debt: Carrying $(339)M, Fair $(312)M, Sensitivity $0M","Manufacturing Debt: Carrying $(3,459)M, Fair $(3,406)M; Finance Debt: Carrying $(339)M, Fair $(312)M","Finance receivables: Carrying $493M, Fair $528M",0000217346-26-000006,2026-02-11,2026-06-26T20:21:26Z,2
2026-04-04,10-Q,,,,,,654,,,264,5,12,Yes,654,,,264,,,5,12,-7,,,,,,,,,,,,,,,,,,0000217346-26-000012,2026-04-30,2026-06-26T20:21:26Z,2
