period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,notional_amount,weighted_average_rate,hedge_designation,embedded_derivative_gain,foreign_currency_exposure_percentage,foreign_currency_gain_loss,interest_rate_sensitivity,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,1283.1,,,,,,,,,1.4,,Yes,,,,480.0,,,1.4,,1.4,,1.4,,,,,,,,,,,,,,,0001145197-25-000022,2025-05-09,2026-06-24T04:24:29Z,2
2025-06-30,10-Q,1121.5,,,,,,,,,0.2,,Yes,,,,460.0,,,0.2,,0.2,,1.7,,,,,,,,,,,,,,,0001145197-25-000038,2025-08-07,2026-06-24T04:24:29Z,2
2025-09-30,10-Q,757.5,,,,,,,,460.0,1.1,0.8,Yes,,,,460.0,,,1.1,0.8,0.3,,,,,,,,,,460.0,,cash flow hedge,,,,,0001145197-25-000069,2025-11-06,2026-06-24T04:24:29Z,2
2025-12-31,10-K,716.1,,,,,,,,460.0,1.0,0.8,Yes,,,,460.0,,,1.0,0.8,0.2,,,,1.8,,,,,,460.0,,cash flow hedge,,28.0,1.8,,0001145197-26-000028,2026-02-18,2026-06-24T04:24:29Z,2
2026-03-31,10-Q,314.5,,,,,,,,460.0,,,Yes,,,,460.0,,,,,,,,,,,,,,,,,,,,,,0001145197-26-000102,2026-05-06,2026-06-24T04:24:29Z,2
