period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fx_forward_designated_cash_flow,fx_forward_non_designated,fx_forward_max_maturity,fx_net_transaction_gains_losses,netting_arrangement_description,accession_number,filing_date,processed_at,extraction_version
2025-03-28,10-Q,1447,,,,,,,,,5,9,Yes,,,,,,,5,9,-4,,,,,25,-68,,,,True,True,12 months or less,,,0000106040-25-000026,2025-05-02,2026-06-27T20:17:09Z,2
2025-06-27,10-K,285,,,,,,,,,10,4,Yes,1140,,,,,,10,4,6,,,,,16,-75,,,,True,True,12 months or less,,,0000106040-25-000038,2025-08-14,2026-06-27T20:17:09Z,2
2025-10-03,10-Q,140,,,,,,,,,4,5,,,,,,,,,,,,,,,16,-70,,,,True,,,,,0001628280-25-047613,2025-10-31,2026-06-27T20:17:09Z,2
2026-01-02,10-Q,133,,,,,,,,,13,7,,,,,,,,,,,,,,,16,-78,,,,True,,,,,0001628280-26-004207,2026-01-30,2026-06-27T20:17:09Z,2
2026-04-03,10-Q,93,,,,,,,,,5,29,,,,,,,,,,,,,,,,-72,1.6,,,True,,,,,0001628280-26-029054,2026-05-01,2026-06-27T20:17:09Z,2
