period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,notional_values,fair_values,settlement_amounts,aocl_changes,subsequent_events,fx_sensitivity,interest_rate_sensitivity,commodity_exposures,credit_risk_exposure,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-K,,,,,,,,,,,,Yes,381.713,367.695,14.018,,,,2.238,-0.064,2.174,1.584,,,,0.0147,0.034,,,,,,,,,0.034,0.0147,sheepskin and sugarcane-derived EVA,,0000910521-25-000017,2025-05-23,2026-06-16T04:20:48Z,2
2025-06-30,10-Q,1376.741,,,,,,,,,0.0,25.03,Yes,416.555,374.348,42.207,,,,0.0,-25.03,-25.03,-18.625,,,,,,,,,,,,,,,,,,0000910521-25-000037,2025-07-31,2026-06-16T04:20:48Z,2
2025-09-30,10-Q,1017.866,,,,,,,,,0.392,11.485,Yes,362.992,359.486,3.506,,,,0.392,-11.485,-11.093,-8.497,,,,,,,,,,,,,,,,,,0000910521-25-000044,2025-10-31,2026-06-16T04:20:48Z,2
2025-12-31,10-Q,1699.688,,,,,,,,,0.58,5.793,Yes,325.86,311.23,14.63,,,,0.58,-5.793,-5.213,-3.98,,,,,,,,,,,,,,,,,,0000910521-26-000005,2026-02-03,2026-06-16T04:20:48Z,2
2026-03-31,10-K,,,,,,,,,,,,Yes,355.526,337.183,18.343,,,,7.686,0.0,7.686,,,,,0.0163,0.0345,,,,,,,,,0.0345,0.0163,sheepskin and sugarcane-derived EVA,,0001628280-26-037664,2026-05-22,2026-06-16T04:20:48Z,2
2026-06-30,10-Q,,,,,,,,,,,,,,,,,,Yes,376.451,376.451,0,,,,10.977,,10.977,8.342,,,,,,,,,,,,,,,
