period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,debt_fair_value,debt_sensitivity,forward_contract_liability,cross_currency_swap_notional,cross_currency_swap_fair_value,fx_sensitivity_scenario,historical_fx_losses,revolving_credit_outstanding,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,325,1454,739,513,0,5200,,,,38,2,Yes,5200,,5200,,,,38,0,38,,,,,,,,,,,,,,,,,,0001324424-25-000028,2025-05-09,2026-06-18T08:19:53Z,2
2025-06-30,10-Q,447,1166,487,478,0,5600,,,,38,15,Yes,5600,,5600,,,,38,15,23,,,,,,,,,,,,,,,,,,0001324424-25-000042,2025-08-08,2026-06-18T08:19:53Z,2
2025-09-30,10-Q,422,1240,620,409,0,5200,,,,0,34,Yes,5200,,5200,,,,0,34,-34,,,,,,,,,,,,,,,,,,0001324424-25-000051,2025-11-07,2026-06-18T08:19:53Z,2
2025-12-31,10-K,387,1177,577,404,0,,,,,0,150,Yes,,,,,,,,,,,,,-46,,-35,6.25,577,-83,5200,-85,-13,220,-11,-35,-46,0,0001324424-26-000008,2026-02-13,2026-06-18T08:19:53Z,2
2026-03-31,10-Q,369,998,422,420,0,8800,1500,7300,,0,39,Yes,8800,1500,7300,,,,0,39,-39,31,40,,,,,,,,,,,,,,,,0001324424-26-000035,2026-05-08,2026-06-18T08:19:53Z,2
