period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fx_forwards_cf_hedge_notional,fx_forwards_non_designated_long,fx_forwards_non_designated_short,fx_hedge_gain_loss_oci,fixed_income_investments,senior_notes_principal,fx_forward_gain_loss,accession_number,filing_date,processed_at,extraction_version
2025-01-24,10-Q,,,,,,,,,,,,Yes,674,109,565,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-25,10-K,,,,,,,,,,,,Yes,871,81,790,,,,,,,,,,,3,,3.3,,,,,,,2000,3300,,,,,
2025-07-25,10-Q,,,,,,,,,,,,Yes,1652,119,1533,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-24,10-Q,,,,,,,,,,,,Yes,1566,129,1437,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-23,10-Q,,,,,,,,,,,,Yes,1170,127,1043,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-24,10-K,2070,1514,,,,,,,,10,1,Yes,1083,75,1008,,,,,,,,,,,-4,,2.5,,,75,13,995,,2186,2500,-15,0001193125-26-259683,2026-06-05,2026-06-23T08:25:02Z,2
