period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fx_contract_notional_asset,fx_contract_fair_value_asset,fx_contract_notional_liability,fx_contract_fair_value_liability,cross_currency_swap_notional,cross_currency_swap_fair_value_asset,cross_currency_swap_fair_value_liability,cross_currency_swap_aoci,ir_swap_notional_asset,ir_swap_notional_liability,ir_swap_aoci,cross_currency_swap_interest_earned,fx_sensitivity_10pct,cross_currency_sensitivity_10pct
2026-04-04,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-29,10-Q,,,,,,No mention,,,,,,,,,,,,,,,,,,,-23,
2025-06-28,10-Q,,,,,,No mention,,,,,,,,,,,,,,,,,,,-27,
2025-09-27,10-Q,,,,,,Yes,,,,,,,,,,,,,,,,,,,2,78
2025-12-31,10-K,,,,,,Yes,58.032,-1.92,,,,,39.053,0.329,18.979,0.248,900,0.346,50.493,-53.73,50,100,-2.35,10.92,-3,95
