timestamp,ticker,cik,reason,severity,filing_date,form_type,config_path,status
2026-03-25T01:32:46Z,MU,723125,"Archetype confidence: 1.00; Sections found: derivatives_or_instruments, market_risk; 27 note headings found",warning,2026-02-26,10-Q,C:\Users\lukas\sec-derivatives\profiles\mu.yaml,open
2026-03-25T01:46:51Z,FDX,1048911,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,error,2026-02-28,10-Q,,open
2026-03-25T01:47:05Z,ORCL,1341439,Archetype confidence: 1.00; Sections found: market_risk; LLM identified 3 key fields,warning,2026-02-28,10-Q,C:\Users\lukas\sec-derivatives\profiles\orcl.yaml,open
2026-03-25T01:52:55Z,FDX,1048911,No archetype keyword matches — defaulted; Sections found: market_risk; Warning: No archetype keyword matches; defaulting to minimal_hedger,error,2026-02-28,10-Q,,open
2026-03-25T02:08:45Z,ORCL,1341439,Archetype confidence: 1.00; Sections found: market_risk; Very low fill rate: 14% (1/7),warning,2026-02-28,10-Q,C:\Users\lukas\sec-derivatives\profiles\orcl.yaml,open
2026-03-25T02:12:56Z,ORCL,1341439,Archetype confidence: 1.00; Sections found: market_risk; Very low fill rate: 14% (1/7),warning,2026-02-28,10-Q,C:\Users\lukas\sec-derivatives\profiles\orcl.yaml,open
2026-03-25T02:16:19Z,ORCL,1341439,No archetype keyword matches — defaulted; Sections found: market_risk; 5 note headings found,warning,2026-02-28,10-Q,C:\Users\lukas\sec-derivatives\profiles\orcl.yaml,open
2026-03-25T02:18:04Z,ORCL,1341439,No archetype keyword matches — defaulted; Sections found: market_risk; 5 note headings found,warning,2026-02-28,10-Q,C:\Users\lukas\sec-derivatives\profiles\orcl.yaml,open
2026-03-25T02:20:07Z,ORCL,1341439,No archetype keyword matches — defaulted; Sections found: market_risk; 5 note headings found,warning,2026-02-28,10-Q,C:\Users\lukas\sec-derivatives\profiles\orcl.yaml,open
2026-04-20T07:52:40Z,FAST,815556,No archetype keyword matches — defaulted; Sections found: market_risk; 13 note headings found,warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/fast.yaml,open
2026-04-24T07:51:50Z,DHR,313616,"No archetype keyword matches — defaulted; Sections found: derivatives_or_instruments, market_risk; 3 note headings found",warning,2026-03-27,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/dhr.yaml,open
2026-04-27T08:07:42Z,HAL,45012,"Sections found: derivatives_or_instruments, market_risk; 30 note headings found; LLM identified 5 key fields",warning,2026-03-31,10-Q,/home/runner/work/sec-derivatives-/sec-derivatives-/profiles/hal.yaml,open
