period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,foreign_currency_notional_current,foreign_currency_notional_prior,fx_hedge_accounting_fair_value,fx_non_hedge_fair_value,fx_sensitivity_hedge,fx_sensitivity_non_hedge,interest_rate_sensitivity,debt_securities_sensitivity,commodity_notional_current,commodity_notional_prior,commodity_hedge_fair_value,commodity_non_hedge_fair_value,commodity_sensitivity_hedge,commodity_sensitivity_non_hedge
2025-12-31,10-K,,,,,,Yes,21128,,120,,,,21128,18442,48,57,-609,-123,120,-39,535,386,-9,-2,3,-33
2025-03-28,10-Q,,,,,,No mention,,,,,,,,,,,,,,,,,,,,
2025-06-27,10-Q,,,,,,No mention,,,,,,,,,,,,,,,,,,,,
2025-09-26,10-Q,,,,,,No mention,,,,,,,,,,,,,,,,,,,,
2026-04-03,10-Q,,,,,,No mention,,,,,,,,,,,,,,,,,,,,
