period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,currency_derivatives_notional_current,currency_derivatives_notional_prior,hypothetical_fx_sensitivity,cash_equivalents_balance,commercial_paper_balance,interest_rate_sensitivity,primary_fx_exposures,primary_commodity_exposures
2025-01-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-30,10-K,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
2025-07-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-30,10-K,,,,,,,,,,,,Yes,586,,,,,,,,,,,586,,0,45,,,,586,463,45,308,68,negligible,"euro, British pound, Australian dollar","natural gas, wood, corn, malted barley, aluminum, agave, rye"
