period_end_date,form_type,fx_designated_notional,fx_not_designated_notional,commodity_designated_notional,commodity_not_designated_notional,total_notional,total_derivative_asset,total_derivative_liability,net_asset,net_liability,fx_oci_gain_loss,commodity_oci_gain_loss,expected_12mo_reclass_from_aoci,hedge_ineffectiveness,credit_contingent_liability_fv,collateral_posted,fx_sensitivity_10pct,commodity_sensitivity_10pct,has_derivatives,fx_designated_asset,fx_designated_liability,commodity_designated_asset,commodity_designated_liability,fx_not_designated_asset,fx_not_designated_liability,commodity_not_designated_asset,commodity_not_designated_liability,fx_reclass_revenue,fx_reclass_cost,fx_reclass_ga,commodity_reclass_cost,commodity_reclass_ga
2025-03-31,10-Q,5123,121,361,104,5709,113,-153,,-120,67,1,-50,0,14,0,,,Yes,51,-129,61,-12,1,-12,,,,-4,-10,-11,2
2025-06-30,10-Q,4797.0,225.0,478.0,61.0,5561.0,222.0,-65.0,183.0,-26.0,201.0,5.0,-8.0,0.0,4.0,0.0,,,Yes,153.0,-48.0,61.0,-8.0,8.0,-9.0,0.0,0.0,,-12.0,-9.0,-18.0,3.0
2025-09-30,10-Q,4252.0,521.0,469.0,32.0,5274.0,195.0,-78.0,157.0,-40.0,166.0,15.0,-11.0,0.0,3.0,0.0,,,Yes,126.0,-66.0,63.0,-1.0,6.0,-11.0,0.0,0.0,,-21.0,-4.0,-21.0,5.0
2025-12-31,10-K,5736,320,435,129,6620,238,-88,193,-43,210,52,16,0,3,0,425,38,Yes,143,-77,92,-1,3,-10,,,1,-29,2,-18,6
