period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fx_contracts_notional,fx_contracts_fair_value,interest_rate_swaps_notional,interest_rate_swaps_fair_value,hedge_ineffectiveness,aoci_derivative_gain_loss,non_designated_gain_loss,interest_rate_sensitivity,foreign_currency_sensitivity
2025-03-31,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,10-Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,10-K,,,,,,,,,,,,Yes,8776,2647,4391,,,,44,137,-93,-715,39,,,,449,,,,,,,,,,,,
2026-03-31,10-Q,,,,,,,,,,,,Yes,7569.0,2583.0,4741.0,,,,7.0,66.0,-59.0,23.0,23.0,0,,,,,,,,,,,,,,,
2026-06-30,10-Q,,,,,,,,,,,,Yes,7759,4491,3268,,,,81,107,-26,8,44,,,,,,,,,,,,,,,,
