period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,variable_rate_debt_pct,interest_rate_sensitivity,fx_unhedged_payments_eur,fx_sensitivity_10pct,euro_denominated_debt_unhedged,euro_debt_sensitivity_10pct,fuel_hedge_pct_by_year,fuel_expense_pct_of_operating,fuel_sensitivity_10pct,fx_remeasurement_gains_losses
2026-03-31,10-Q,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,10-Q,,,,,,Yes,,,,,,,7,10.3,EUR 15.7B / $17.0B,1700,,,"2025: 61%, 2026: 41%, 2027: 18%",13.4,"2025 fuel expense +$43.6M, offset by fuel swaps +$23.4M",
2025-06-30,10-Q,,,,,,Yes,,,,,,,6,8.6,EUR 15.6B / $18.4B,1800,EUR 1.3B / $1.5B,148.0,"2025: 65%, 2026: 48%, 2027: 22%",10.8,"2025 fuel expense +$34.7M, offset by fuel swaps +$18.9M",Q2 2025: -$121.9M; H1 2025: -$137.9M
2025-09-30,10-Q,,,,,,Yes,,,,,,,8,12.3,EUR 16.4B / $19.2B,1900,EUR 1.7B / $2.0B,200.8,"2025: 58%, 2026: 48%, 2027: 22%",11.3,"2025 fuel expense +$15.4M, offset by fuel swaps +$7.4M",Q3 2025: +$4.7M; 9mo 2025: -$133.3M
2025-12-31,10-K,,,,,,Yes,,,,,,,10,15.0,EUR 16.4B / $19.3B,1900,EUR 1.7B / $2.0B,199.9,"2026: 51%, 2027: 22%",12.0,"2026 fuel expense +$66.2M, offset by fuel swaps +$27.6M",FY2025: -$135.4M
