period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,net_fair_value_liability_currency,currency_sensitivity_10pct,commodity_net_fair_value,commodity_sensitivity_10pct,hedged_currencies,net_investment_hedge_instruments,foreign_currency_translation_adjustment
2025-03-31,10-Q,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,10-Q,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,10-Q,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-31,10-K,,,,,,,,,,,,Yes,,,,,,,,,,,,,,0,77,2.024,,,476,27,79,44,"Mexican Peso, Chinese Yuan Renminbi, Polish Zloty, British Pound, Hungarian Forint","2024 Euro-denominated Senior Notes, 2016 Euro-denominated Senior Notes, forward contracts",310
2026-03-31,10-Q,,,,,,,,,,,,Yes,,,,,,,,,,,,0,,,,,,,,,,,,certain qualifying instruments as net investment hedges,
