period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,commodity_derivative_fair_value_asset,commodity_derivative_fair_value_liability,commodity_hedge_gain_loss,nondesignated_commodity_gain_loss,commodity_volumes_hedged,interest_rate_variable_exposure,derivative_settlement_cash_flow
2026-03-31,10-Q,,,,,,,,,,,,,,,,,,,
2025-03-31,10-Q,,,,,,Yes,0,,15.2,,,,,-448.2,-291.3,,"Natural gas, NGL, and condensate equity volumes hedged through 2028",1500 million variable rate borrowings; no interest rate hedges,
2025-06-30,10-Q,,,,,,Yes,0,,6.7,,,,,-122.8,233.9,,"Natural gas, NGL, and condensate equity volumes hedged through 2028",667 million variable rate borrowings; no interest rate hedges,
2025-09-30,10-Q,,,,,,Yes,0,,19.0,,,,,-141.4,-50.5,,"Natural gas, NGL, and condensate equity volumes hedged through 2029",1895 million variable rate borrowings; no interest rate hedges,
2025-12-31,10-K,,,,,,Yes,0,,1.6,,,,,-66.9,-160.3,,"Natural gas, NGL, and condensate equity volumes hedged through 2029",161 million variable rate borrowings; no interest rate hedges,
