period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,fi_fx_derivatives_notional,fi_fx_designated_notional,fi_fx_not_designated_notional,fi_ir_swap_notional,fi_total_derivative_asset,fi_total_derivative_liability,has_derivatives,fx_derivatives_notional,fx_designated_notional,fx_not_designated_notional,ir_swap_notional,commodity_derivatives_notional,equity_derivatives_notional,total_derivative_asset,total_derivative_liability,net_derivative_position,cash_flow_hedge_aoci,expected_12mo_reclass_from_aoci,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fx_sensitivity_10pct,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,fx_forward_notional_net_investment_hedge,fx_forward_maturity,ir_swap_fixed_rate,ir_swap_maturity,ir_swap_gain_loss_oci,ir_swap_reclassified_from_aoci,aoci_reclassification_next_12m,total_return_swap_fair_value,pct_fixed_rate_debt,ir_swap_fair_value_sensitivity_100bp,fixed_rate_debt_fair_value_sensitivity_100bp,fx_net_asset_exposure,fx_operating_profit_sensitivity_10pct,accession_number,filing_date,processed_at,extraction_version
2025-03-31,10-Q,,,,,,,,,,0.0,0.0,Yes,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0001041061-25-000025,2025-05-07,2026-07-18T12:52:15Z,2
2025-06-30,10-Q,,,,,,,,,,7.0,5.0,Yes,80.0,80.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,0001041061-25-000057,2025-08-07,2026-07-18T12:52:15Z,2
2025-09-30,10-Q,,,,,,,,,,4.0,4.0,Yes,80.0,80.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0001041061-25-000109,2025-11-07,2026-07-18T12:52:15Z,2
2025-12-31,10-K,,,,,,,,,,,,Yes,80.0,80.0,,1500.0,,,,,,,1.0,,,4.0,,9.5,,,,,,,,,,,96.0,31.0,-375.0,1000.0,-150.0,0001041061-26-000084,2026-02-20,2026-07-18T12:52:15Z,2
2026-03-31,10-Q,,,,,,,,,,,,Yes,75.0,75.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,0001041061-26-000119,2026-05-06,2026-07-18T12:52:15Z,2
