period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,interest_rate_swap_notional,interest_rate_swap_fair_value,sensitivity_adverse_10pct_interest_rate,fixed_rate_debt_outstanding,variable_rate_debt_outstanding,fx_revenue_sensitivity,level3_equity_securities
2026-03-31,10-Q,,,,,,,,,,,,,,,,,,,
2025-03-31,10-Q,,,,,,,,,,,,,,,,,,,
2025-06-30,10-K,,,,,,Yes,0,,,1.5,,,,,-1,1500,475,"AUD/USD: $35M revenue, $10M EBITDA per one cent; GBP/USD: $11M revenue, $1M EBITDA per one cent",
2025-09-30,10-Q,,,,,,,,,,,,,,,,,,,
2025-12-31,10-Q,,,,,,,,,,,,,,,,,,,
