period_end_date,form_type,total_cash_equivalents_fv,total_marketable_securities_fv,marketable_equity_securities_fv,corporate_debt_securities_fv,gross_unrealized_gains_debt,has_derivatives,fx_forwards_outstanding,fx_transaction_gain_loss,ir_sensitivity_100bp,fixed_rate_notes_billion,marketable_equity_value,equity_sensitivity_10pct,commodity_derivative_sensitivity,compliance_program_derivative_sensitivity,fixed_rate_debt_by_maturity,fixed_rate_debt_fair_value,floating_rate_debt_outstanding,floating_rate_interest_sensitivity,fx_contracts_fair_value
2026-03-31,10-Q,,,,,,,,,,,,,,,,,,,
2025-03-31,10-Q,,,,,,Yes,,,,8.558,,,not material,not material,"Remainder of 2025: $251M, 2026: $672M, 2027: $564M, 2028: $1,047M, 2029: $439M, Thereafter: $5,585M, Total: $8,558M",8279,46,not material,
2025-06-30,10-Q,,,,,,Yes,,,,8.307,,,not material,not material,"Remainder of 2025: $0, 2026: $672M, 2027: $564M, 2028: $1,047M, 2029: $439M, Thereafter: $5,585M, Total: $8,307M",8054,137,not material,
2025-09-30,10-Q,,,,,,Yes,,,,8.307,,,not material,not material,"Remainder of 2025: $0, 2026: $672M, 2027: $564M, 2028: $1,047M, 2029: $439M, Thereafter: $5,585M, Total: $8,307M",8196,131,not material,
2025-12-31,10-K,,,,,,Yes,,,,8.308,,,not material,not material,"2026: $672M, 2027: $564M, 2028: $1,047M, 2029: $439M, 2030: $850M, Thereafter: $4,736M, Total: $8,308M",8167,23,not material,not material
